timestamp,datetime,pwm_right,vel_right
1757616575.9456842,2025-09-11 15:49:35.945,200,0.22
1757616575.9774148,2025-09-11 15:49:35.977,200,0.22
1757616575.9988718,2025-09-11 15:49:35.998,200,0.22
1757616576.030484,2025-09-11 15:49:36.030,200,0.21
1757616576.0613186,2025-09-11 15:49:36.061,205,0.21
1757616576.0926588,2025-09-11 15:49:36.092,205,0.21
1757616576.1239831,2025-09-11 15:49:36.123,205,0.21
1757616576.1452296,2025-09-11 15:49:36.145,205,0.22
1757616576.1767695,2025-09-11 15:49:36.176,205,0.22
1757616576.208383,2025-09-11 15:49:36.208,205,0.22
1757616576.2400265,2025-09-11 15:49:36.240,205,0.22
1757616576.2613683,2025-09-11 15:49:36.261,205,0.23
1757616576.2928095,2025-09-11 15:49:36.292,205,0.23
1757616576.32441,2025-09-11 15:49:36.324,205,0.23
1757616576.3559737,2025-09-11 15:49:36.355,205,0.23
1757616576.3875675,2025-09-11 15:49:36.387,205,0.23
1757616576.4090104,2025-09-11 15:49:36.409,205,0.23
1757616576.4405944,2025-09-11 15:49:36.440,205,0.23
1757616576.4722788,2025-09-11 15:49:36.472,205,0.23
1757616576.5039678,2025-09-11 15:49:36.503,205,0.23
1757616576.5253415,2025-09-11 15:49:36.525,205,0.23
1757616576.5569582,2025-09-11 15:49:36.556,205,0.23
1757616576.5886712,2025-09-11 15:49:36.588,205,0.23
1757616576.6203291,2025-09-11 15:49:36.620,205,0.24
1757616576.6513245,2025-09-11 15:49:36.651,205,0.24
1757616576.6726398,2025-09-11 15:49:36.672,205,0.24
1757616576.7042477,2025-09-11 15:49:36.704,205,0.24
1757616576.7357647,2025-09-11 15:49:36.735,205,0.23
1757616576.7674756,2025-09-11 15:49:36.767,205,0.23
1757616576.798986,2025-09-11 15:49:36.798,205,0.23
1757616576.8203645,2025-09-11 15:49:36.820,205,0.23
1757616576.8520432,2025-09-11 15:49:36.852,205,0.24
1757616576.8837612,2025-09-11 15:49:36.883,205,0.24
1757616576.915224,2025-09-11 15:49:36.915,205,0.24
1757616576.9365778,2025-09-11 15:49:36.936,205,0.24
1757616576.9681928,2025-09-11 15:49:36.968,205,0.24
1757616576.9996572,2025-09-11 15:49:36.999,205,0.24
1757616577.0312357,2025-09-11 15:49:37.031,205,0.24
1757616577.062881,2025-09-11 15:49:37.062,205,0.24
1757616577.0843077,2025-09-11 15:49:37.084,205,0.24
1757616577.1159167,2025-09-11 15:49:37.115,205,0.24
1757616577.1475902,2025-09-11 15:49:37.147,205,0.24
1757616577.1793134,2025-09-11 15:49:37.179,205,0.24
1757616577.2007585,2025-09-11 15:49:37.200,205,0.24
1757616577.2324877,2025-09-11 15:49:37.232,205,0.24
1757616577.2640688,2025-09-11 15:49:37.264,205,0.24
1757616577.2956662,2025-09-11 15:49:37.295,205,0.24
1757616577.3171268,2025-09-11 15:49:37.317,205,0.24
1757616577.3488522,2025-09-11 15:49:37.348,205,0.24
1757616577.3806038,2025-09-11 15:49:37.380,205,0.24
1757616577.412382,2025-09-11 15:49:37.412,205,0.24
1757616577.4440708,2025-09-11 15:49:37.444,205,0.24
1757616577.4653513,2025-09-11 15:49:37.465,205,0.24
1757616577.4969628,2025-09-11 15:49:37.496,205,0.24
1757616577.5285785,2025-09-11 15:49:37.528,205,0.24
1757616577.5601342,2025-09-11 15:49:37.560,205,0.24
1757616577.5813947,2025-09-11 15:49:37.581,205,0.24
1757616577.6131525,2025-09-11 15:49:37.613,205,0.24
